trade_ref,instrument_id,counterparty_id,asset_class,side,quantity,price,trade_date,status
TRD00001,2,1,BOND,BUY,2309.7863,3684.9914,2026-06-21,PENDING
TRD00002,12,9,EQUITY,SELL,414.6485,477.5392,2026-06-26,PENDING
TRD00003,9,10,EQUITY,BUY,7188.5942,3509.6116,2026-04-30,PENDING
TRD00004,4,8,BOND,BUY,7612.1929,806.7,2026-05-24,PENDING
TRD00005,6,5,FX,BUY,9576.4094,1689.6068,2026-05-25,PENDING
TRD00006,7,2,BOND,SELL,6076.8877,4037.5701,2026-04-12,PENDING
TRD00007,8,9,EQUITY,SELL,880.122,1472.9596,2026-07-03,PENDING
TRD00008,10,6,FX,BUY,553.6614,1147.2124,2026-06-20,PENDING
TRD00009,2,4,EQUITY,SELL,2851.9387,3182.0654,2026-05-08,PENDING
TRD00010,3,6,BOND,BUY,6734.7342,3512.0834,2026-05-17,PENDING
TRD00011,11,2,FX,BUY,1717.6847,1903.4827,2026-06-27,PENDING
TRD00012,11,9,FX,SELL,8444.234,3882.2396,2026-07-28,PENDING
TRD00013,14,1,BOND,SELL,2750.6347,1062.8044,2026-04-30,PENDING
TRD00014,10,6,FX,SELL,4016.7558,4573.5925,2026-07-30,PENDING
TRD00015,3,5,FX,BUY,7475.3909,2699.4967,2026-05-29,PENDING
TRD00016,10,7,DERIVATIVE,SELL,2271.2755,4987.7127,2026-07-05,PENDING
TRD00017,8,2,EQUITY,BUY,1613.1291,808.3102,2026-06-05,PENDING
TRD00018,7,10,EQUITY,SELL,3878.0309,4980.6457,2026-06-27,PENDING
TRD00019,5,9,EQUITY,BUY,6848.9327,2689.4819,2026-06-07,PENDING
TRD00020,13,6,EQUITY,SELL,4404.176,2274.0813,2026-05-05,PENDING
TRD00021,15,5,FX,BUY,8718.1338,1499.2395,2026-07-02,PENDING
TRD00022,9,10,FX,BUY,3801.7471,816.1297,2026-06-21,PENDING
TRD00023,15,9,EQUITY,SELL,4937.1965,568.2199,2026-07-09,PENDING
TRD00024,15,5,FX,BUY,2484.6288,2841.1111,2026-05-17,PENDING
TRD00025,2,8,EQUITY,BUY,1371.0755,2381.6591,2026-04-11,PENDING
TRD00026,3,5,DERIVATIVE,BUY,9296.2436,3778.7733,2026-06-10,PENDING
TRD00027,4,5,DERIVATIVE,SELL,4437.1908,2592.7034,2026-06-28,PENDING
TRD00028,4,4,EQUITY,SELL,308.2392,2774.0684,2026-04-16,PENDING
TRD00029,4,1,EQUITY,BUY,2366.5237,4528.0459,2026-06-15,PENDING
TRD00030,6,2,FX,SELL,6722.88,1079.0417,2026-07-20,PENDING
TRD00031,12,10,DERIVATIVE,BUY,7867.7323,4039.41,2026-04-17,PENDING
TRD00032,2,2,DERIVATIVE,SELL,4293.4284,2340.4531,2026-04-25,PENDING
TRD00033,1,2,EQUITY,SELL,7309.3145,4004.9566,2026-07-03,PENDING
TRD00034,4,4,FX,SELL,1487.8047,925.6053,2026-04-14,PENDING
TRD00035,4,2,DERIVATIVE,BUY,600.8245,4996.4195,2026-05-30,PENDING
TRD00036,1,2,FX,BUY,4123.4992,2411.9785,2026-07-17,PENDING
TRD00037,7,1,FX,SELL,121.3382,1958.2046,2026-07-20,PENDING
TRD00038,13,8,BOND,SELL,6996.2559,3655.2215,2026-07-28,PENDING
